#,单词,音标,解释,笔记
168,"interpreter","英:/ɪn'tɜːprɪtə/ 美:/ɪn'tɝprɪtɚ/","- n. 口译工作者;口译译员
- 演绎(音乐、戏剧中人物等)的人
- 解释程序",
169,"invest","英:/ɪn'vest/ 美:/ɪn'vɛst/","- vt. 投资；耗费；授予；覆盖；包围
- vi. 投资，入股；花钱买


时 态:  
invested, investing, invests 

形容词:  
investable

名 词:  
investor",
170,"irregular","英:/ɪ'regjʊlə/ 美:/ɪ'rɛɡjəlɚ/","- adj. 不对称的, 不规则的
- 不定期的
- 不合规范的
- 不规则变化的

副 词:  
irregularly",
171,"junction","英:/'dʒʌŋ(k)ʃ(ə)n/ 美:/'dʒʌŋkʃən/","n. 连接，接合；交叉点；接合点",
172,"Jury","英:/'dʒʊərɪ/ 美:/'dʒʊri/","- n. 陪审团；评判委员会
- adj. 应急的",
173,"kidney","英:/'kɪdnɪ/ 美:/'kɪdni/","- n. 肾, 肾脏
- (可食用的动物的)腰子",
174,"knee","英:/niː/ 美:/ni/","- n. 膝盖，膝
- vt. 用膝盖碰


时 态:  
kneed, kneeing, knees",
175,"lawn","英:/lɔːn/ 美:/lɔn/","n. 草坪；草地",
176,"leather","英:/'leðə/ 美:/'lɛðɚ/","- n. 皮革；皮革制品
- vt. 用皮革包盖；抽打
- adj. 皮的；皮革制的


时 态:  
leathered, leathering, leathers",
177,"lecture","英:/'lektʃə/ 美:/'lɛktʃɚ/","- n. 演讲；讲稿；教训
- vt. 演讲；训诫
- vi. 讲演；讲课


时 态:  
lectured, lecturing, lectures",
178,"manipulation","英:/mə,nɪpjʊ'leɪʃ(ə)n/ 美:/mə,nɪpjʊ'leʃən/","- n. (熟练的)操作；操纵；控制
- (对账目等的)伪造，篡改",
179,"maternity","英:/mə'tɜːnɪtɪ/ 美:/mə'tɝnəti/","n. 母性;为母之道",
180,"mayo","/'meɪəʊ/","n. [口]蛋黄酱（等于mayonnaise）

Mayo梅奥(爱尔兰西北部一郡)",
181,"Mayor","英:/meə/ 美:/'meɚ/","n. 市长

形容词:  
mayoral

名 词:  
mayorship",
182,"ministry","英:/ˈministri/ 美:/'mɪnɪstri/","n. （政府的）部门",
183,"minority","英:/maɪ'nɒrɪtɪ/ 美:/maɪ'nɔrəti/","- n. 少数民族；少数派；未成年
- adj. 少数的；属于少数派的",
184,"miracle","英:/'mɪrək(ə)l/ 美:/'mɪrəkl/","- n. 奇迹
- 令人惊奇的事",
185,"moral","英:/'mɒr(ə)l/ 美:/'mɔrəl/","- adj. 道德的；精神上的；品性端正的
- n. 道德；寓意


副 词:  
morally",
186,"mow","英:/məʊ/ 美:/mo/","- n. 草堆；皱眉；谷堆
- vt. 割草；收割庄稼
- vi. 割草；收割庄稼

MOW
- abbr. Ministry of Works 建筑工程部
- 工程部
MOW
- abbr. Ministry of Works 〈新〉建筑工程部
- 〈英〉工程部

时 态:  
mowed, mowed, mown  
mowing, mows 

名 词:  
mower",
187,"negotiation","英:/nɪgəʊʃɪ'eɪʃ(ə)n/ 美:/nɪ,ɡoʃɪ'eʃən/","- n. 协商，谈判
- 完成(难事)；通过",
188,"nightingale","英:/ˈnaɪtnˌgeɪl/ 美:/ˈnaɪtn..ˌɡel/","n. 南丁格尔(1820-1910,英国护士业的首创者及医院之改革者)
nightingalen. 夜莺",
189,"notarization","/ˌnotərɪ'zeʃən/","n. 公证",
190,"oblige","英:/ə'blaɪdʒ/ 美:/ə'blaɪdʒ/","- vt. 强制；赐，施恩惠；迫使；责成
- vi. 帮忙；施恩惠


时 态:  
obliged, obliging, obliges 

名 词:  
obliger",
191,"obstacle","英:/'ɒbstək(ə)l/ 美:/'ɑbstəkl/","n. 障碍(物), 妨碍",
192,"occupation","英:/ɒkjʊ'peɪʃ(ə)n/ 美:/ˌɑkju'peʃən/","- n. 工作; 职业
- 消遣
- 占领",
193,"octagon","英:/'ɒktəg(ə)n/ 美:/'ɑktəɡɑn/","n. 八边形,八角形",
194,"oppose","英:/ə'pəʊz/ 美:/ə'poz/","vt. & vi. 反对；使相对

时 态:  
opposed，opposing，opposes 

名 词:  
opposer",
195,"optimistic","/ˌɑptɪ'mɪstɪk/","adj. 乐观的, 乐观主义的",
196,"origin","英:/'ɒrɪdʒɪn/ 美:/ˈɔːrɪdʒɪn/","- n. 起点；来源
- 出身，血统",
197,"palace","英:/'pælɪs/ 美:/'pæləs/","n. 宫殿；豪华住宅；宅邸",
198,"panic","英:/ˈpænik/ 美:/ˈpænɪk/","- n. 恐慌，惊慌；大恐慌
- adj. 恐慌的；没有理由的
- vt. 使恐慌
- vi. 十分惊慌

Panic潘神的,牧人之神的

时 态:  
panicked, panicking, panics 

形容词:  
panicky",
199,"parenthesis","英:/pə'renθɪsɪs/ 美:/pə'rɛnθəsɪs/","- n. 插入语,插入成分
- 圆括号
- 间歇,插曲",
200,"participle","英:/'pɑːtɪsɪp(ə)l/ 美:/'pɑrtə'sɪpl/","n. 分词",
201,"pass out","","昏倒, 失去知觉@（桥牌）拒绝出牌",
202,"paternity","英:/pə'tɜːnɪtɪ/ 美:/pə'tɝnəti/","n. 父亲的身份〔地位〕",
203,"pedestrian","英:/pɪ'destrɪən/ 美:/pə'dɛstrɪən/","n. 步行者

名 词:  
pedestrianism",
204,"pension","英:/'penʃ(ə)n/ 美:/'pɛnʃən/","- n. 津贴；退休金，抚恤金；膳宿费
- vt. 发给养老金或抚恤金


时 态:  
pensioned, pensioning, pensions 

形容词:  
pensionable",
205,"perpendicular","英:/ˌpɜːp(ə)n'dɪkjʊlə/ 美:/'pɝpən'dɪkjəlɚ/","- adj. 垂直的;成直角的
- 直立的

名 词:  
perpendicularity

副 词:  
perpendicularly",
206,"philosophy","英:/fi'lɔsəfi/ 美:/fɪˈlɑsəfi/","- n. 哲学
- 人生哲学, 人生观
- 达观",
207,"phonic","英:/'fəʊnɪk/ 美:/'fɑnɪk/","adj. 声音的，语音的；有声的，浊音的；声学的",
208,"plentiful","英:/'plentɪfʊl/ 美:/'plɛntɪfəl/","adj. 丰富的, 大量的

名 词:  
plentifulness",
209,"plot","英:/plɒt/ 美:/plɑt/","- n. 故事情节
- (秘密)计划，密谋
- 小块地皮
- vt. 把…分成小块；划分
- 绘制；标出
- vt. & vi. 密谋

时 态:  
plotted，plotting，plots",
210,"pot","英:/pɒt/ 美:/pɑt/","- n. 罐；壶；盆
- vt. 把…装罐；射击；节略
- vi. 随手射击


时 态:  
potted, potting, pots",
211,"practically","英:/'præktɪk(ə)lɪ/ 美:/'præktɪkli/","- adv. 几乎；简直
- 实际地，实事求是地",
212,"pram","英:/præm/ 美:/præm/","n. 送牛奶用的手推车；婴儿车",
213,"preserve","英:/prɪ'zɜːv/ 美:/prɪ'zɝv/","- vt. 保存；保护；维持；禁猎；腌
- n. 禁猎地；保护区；加工成的食品
- n. (某人或群体的）专门活动


时 态:  
preserved, preserving, preserves 

名 词:  
preservability

形容词:  
preservable

名 词:  
preservation

名 词:  
preserver",
214,"principal","英:/'prɪnsɪp(ə)l/ 美:/'prɪnsəpl/","- adj. 最重要的；主要的
- n. 负责人，校长
- 资本，本金
- 被代理人，委托人

副 词:  
principally

名 词:  
principalship",
215,"protein","英:/'prəʊtiːn/ 美:/'protin/","- n. 蛋白质；朊
- adj. 蛋白质的


形容词:  
proteinaceous",
216,"publication","英:/ˌpʌblɪ'keɪʃ(ə)n/ 美:/ˌpʌblɪ'keʃən/","- n. 发表, 公布
- 出版, 刊行, 发行
- 出版物, 书刊",
217,"punch","/pʌn(t)ʃ/","- vt. 用拳猛击
- 打孔
- n. 猛击, 拳打
- 冲床, 穿孔机
- 力量
Punch潘趣(英国木偶戏 Punch and Judy 中的主角)

时 态:  
punched, punching, punches",
218,"punctuation","英:/pʌŋ(k)tʃʊ'eɪʃ(ə)n/ 美:/'pʌŋktʃʊ'eʃən/","- n. 标点法, 标点符号的使用
- 标点符号",
219,"pupil","英:/'pjuːpɪl/ 美:/'pjʊpl/","n. 学生；瞳孔；未成年人",
220,"quantity","英:/'kwɒntɪtɪ/ 美:/'kwɑntəti/","n. 量，数量；总量；大量",
221,"racial","英:/'reɪʃ(ə)l/ 美:/'reʃl/","adj. 种族的; 存在或发生于种族之间的

副 词:  
racially",
222,"raisin","英:/'reɪz(ə)n/ 美:/'rezn/","n. 葡萄干",
223,"ratio","英:/'reɪʃɪəʊ/ 美:/'reʃo/","n. 比, 比率",
224,"reckon","英:/'rek(ə)n/ 美:/'rɛkən/","- vt. 猜想；估计
- 〈非正〉思忖；设想
- 考虑；认为
- 〈正〉计算

时 态:  
reckoned，reckoning，reckons",
225,"rectangle","英:/'rektæŋg(ə)l/ 美:/'rɛktæŋɡl/","n. 〈数〉长方形, 矩形",
226,"redeem","英:/riˈdi:m/ 美:/rɪ'dim/","vt. 赎回；补偿；挽回；恢复；履行；兑换


时 态:  
redeemed, redeeming, redeems 

形容词:  
redeemable",
227,"registry","英:/'redʒɪstrɪ/ 美:/'rɛdʒɪstri/","n. 档案室;登记簿存放处;注册处；挂号处",
228,"relative","英:/'relətɪv/ 美:/'rɛlətɪv/","- adj. 相对的；有关系的；成比例的
- n. 亲戚；关系词；相关物；亲缘植物


名 词:  
relativeness",
229,"reputation","英:/repjʊ'teɪʃ(ə)n/ 美:/ˌrɛpju'teʃən/","n. 名气, 名声, 名誉",
230,"resident","英:/'rezɪd(ə)nt/ 美:/'rɛzɪdənt/","- adj. 定居的; 常驻的
- n. 居民
- (旅馆的)住宿者",
231,"resign","英:/rɪ'zaɪn/ 美:/rɪ'zaɪn/","- vt. 辞职；放弃；使听从；委托
- vi. 辞职
- n. 辞去职务


时 态:  
resigned, resigning, resigns",
232,"resolution","英:/rezə'luːʃ(ə)n/ 美:/ˌrɛzə'luʃən/","- n. 正式决定，决议
- 决心，决定
- 坚决；坚定；坚毅
- 解决，解答
- 分辨力，分辨率[度]",
233,"rhythm","英:/'rɪð(ə)m/ 美:/'rɪðəm/","n. 节奏；韵律",
234,"riddle","英:/'rɪd(ə)l/ 美:/'rɪdl/","- vt. 解谜；给...出谜；充满于
- n. 粗筛；谜语；谜一般的人、东西、事情等
- vi. 出谜


时 态:  
riddled, riddling, riddles 

名 词:  
riddler

名 词:  
riddler",
235,"robin","英:/ˈrɔbin/ 美:/ˈrɑbɪn/","n. 知更鸟

Robinn. 罗宾（男子名）",
236,"rural","英:/'rʊər(ə)l/ 美:/'rʊrəl/","adj. 农村的

副 词:  
rurally",
237,"rust","英:/rʌst/ 美:/rʌst/","- n. 锈；生锈；锈病
- vt. 使生锈；腐蚀
- vi. 生锈；成铁锈色；变迟钝


时 态:  
rusted, rusting, rusts 

形容词:  
rust",
238,"saint","英:/seɪnt/ 美:/sent/","- n. 圣徒, 圣人；道德崇高的人
- 圣…(冠于人名、地名之前)

时 态:  
sainted, sainting, saints",
239,"sauce","英:/sɔːs/ 美:/sɔs/","- n. 调味汁, 酱汁
- 无礼的话, 顶撞的话

时 态:  
sauced, saucing, sauces",
240,"scandal","英:/'skænd(ə)l/ 美:/'skændl/","- n. 丑事，丑闻
- 流言蜚语；闲话；诽谤
- 公愤；反感",
241,"sensitive","英:/'sensɪtɪv/ 美:/'sɛnsətɪv/","- adj. 易受伤害的，易损坏的；易受影响的；敏感的
- 易生气的；感情容易冲动的；神经质的
- 〈褒〉有细腻感情的；同情理解的
- (指仪器等)灵敏的
- 需要小心处理(以免引起麻烦或冒犯)的，敏感的，微妙的

副 词:  
sensitively

名 词:  
sensitiveness",
242,"shelter","英:/'ʃeltə/ 美:/'ʃɛltɚ/","- n. 避难所；遮盖物；庇护
- vt. 使掩蔽；保护
- vi. 躲避，避难


时 态:  
sheltered, sheltering, shelters 

形容词:  
shelterless",
243,"shore","英:/ʃɔː/ 美:/ʃɔr/","- vt. 用支柱撑住；支撑，使稳住
- n. 海滨；支柱


时 态:  
shored, shoring, shores",
244,"solid","英:/'sɒlɪd/ 美:/'sɑlɪd/","- adj. 固体的
- 实心的
- 结实的；稳定的
- 可靠的
- 纯粹的；纯质的；纯色的
- n. 固体

比较级:  
solider，solidest 

副 词:  
solidly

名 词:  
solidness",
245,"spectacular","英:/spek'tækjʊlə/ 美:/spɛk'tækjəlɚ/","adj. 壮观的, 雄伟的, 引人入胜的

名 词:  
spectacularity",
246,"squat","英:/skwɒt/ 美:/skwɑt/","- vi. 蹲坐；蹲
- 擅自占住(空屋)
- adj. 矮胖的；矮而宽的
- n. 蹲坐，蹲姿
- 被擅自占用的建筑物

时 态:  
squatted，squatting，squats 

名 词:  
squatter",
247,"steam","英:/stiːm/ 美:/stim/","- vt. 蒸，散发；用蒸汽处理
- n. 蒸汽；精力
- vi. 蒸，冒水汽
- adj. 蒸汽的


时 态:  
steamed, steaming, steams",
248,"strike","英:/straɪk/ 美:/straɪk/","- vi. 罢工；打，打击；敲，敲击；抓；穿透；打动
- vt. 罢工；打，击；侵袭；打动；撞击，冲击；到达
- n. 罢工；打击；殴打


时 态:  
struck 
struck, stricken  
striking, strikes",
249,"striking","英:/'straɪkɪŋ/ 美:/'straɪkɪŋ/","- adj. 显著的，突出的
- 引人注目的；容貌出众的

副 词:  
strikingly

名 词:  
strikingness",
250,"substance","英:/'sʌbst(ə)ns/ 美:/'sʌbstəns/","- n. 物质
- 主旨, 要旨
- 实质, 本体
Substancen. 物质，物",
251,"sympathetic","英:/sɪmpə'θetɪk/ 美:/ˌsɪmpə'θɛtɪk/","- adj. 表示同情的
- 赞同的, 支持的

副 词:  
sympathetically",
252,"sympathy","英:/'simpəθi/ 美:/ˈsɪmpəθi/","- n. 同情(心)
- 同情; (感情上的)支持",
253,"synchronous","英:/'sɪŋkrənəs/ 美:/'sɪŋkrənəs/","adj. 同时存在〔发生〕的；同步的

副 词:  
synchronously",
254,"tackle","英:/'tæk(ə)l/ 美:/ˈtækəl/","- vt. 解决；应付
- vt. & vi. 捉住；扭倒
- n. 拦截；擒抱
- 器具，器械，用具
- 滑车，滑轮组

时 态:  
tackled，tackling，tackles 

名 词:  
tackler",
255,"tale","英:/teɪl/ 美:/tel/","n. 故事；传说；叙述；流言蜚语",
256,"temptation","英:/tem(p)'teɪʃ(ə)n/ 美:/tɛmp'teʃən/","- n. 诱惑, 引诱
- 诱惑物",
257,"tenancy","英:/'tenənsɪ/ 美:/'tɛnənsi/","- n. 租用, 租赁
- 租用或租赁期",
258,"tenant","英:/'tenənt/ 美:/'tɛnənt/","- n. 房客, 佃户, 承租人
- 〈律〉占用者, 占有者

时 态:  
tenanted, tenanting, tenants",
259,"theorem","英:/'θɪərəm/ 美:/'θiərəm/","- n. (尤指数学)定理；命题
- 原理,原则",
260,"therapy","英:/'θerəpɪ/ 美:/'θɛrəpi/","n. 治疗，疗法",
261,"third","英:/θɜːd/ 美:/θɝd/","- n. 第三
- 三分之一
- adj. 第三的
- 三分之一的
- (对某人)逼供，疲劳讯问，刑讯
- 第三次运气就好了

副 词:  
third",
262,"threats","/θret/","- n. 威胁，风险（threat的复数）
- v. 恐吓；威胁（threat的第三人称单数）",
263,"throne","英:/θrəʊn/ 美:/θron/","- n. 王座；君主；王权
- vi. 登上王座
- vt. 使登王位


时 态:  
throned, throning, thrones",
264,"tile","英:/taɪl/ 美:/taɪl/","- n. 瓷砖，瓦片
- vt. 铺以瓦；铺以瓷砖


时 态:  
tiled, tiling, tiles",
265,"tissue","英:/'tɪʃuː/ 美:/'tɪʃu/","- n. 组织
- 薄纸, 棉纸
- 一套, 一系列

形容词:  
tissular",
266,"tolerance","英:/'tɒl(ə)r(ə)ns/ 美:/'tɑlərəns/","- n. 宽容, 容忍
- 忍耐力
- 偏差, 公差",
267,"toucan","英:/'tuːk(ə)n/ 美:/'tukæn/","n. 巨嘴鸟,犀鸟
Toucan杜鹃星座",
268,"typical","英:/'tɪpɪk(ə)l/ 美:/ˈtɪpɪkəl/","adj. 典型的；特有的；象征性的


副 词:  
typically",
269,"universe","英:/'juːnɪvɜːs/ 美:/'junɪvɝs/","n. 宇宙；世界；领域",
270,"upbringing","英:/'ʌpbrɪŋɪŋ/ 美:/'ʌpbrɪŋɪŋ/","n. 养育;培养;教养",
271,"vague","英:/veɪg/ 美:/veɡ/","adj. 不明确的；含糊的；模糊的；暧昧的


比较级:  
vaguer, vaguest 

副 词:  
vaguely

名 词:  
vagueness",
272,"valley","英:/'vælɪ/ 美:/'væli/","n. 流域；山谷；溪谷",
273,"ventilator","英:/'ventɪleɪtə/ 美:/'vɛntɪletɚ/","- n. 通风机;换气扇
- 气窗;气孔
- 通风设备;通风口
- 负责通风的人;公布事情的人

形容词:  
ventilatory",
274,"venture","英:/'ventʃə/ 美:/'vɛntʃɚ/","- vt. 敢于
- vi. 冒险；投机
- n. 冒险；风险；企业


时 态:  
ventured, venturing, ventures 

名 词:  
venturer",
275,"venue","英:/'venjuː/ 美:/'vɛnju/","- n. 聚集地点;会场;(尤指)体育比赛场所
- 犯罪地点;审判地
- 争论中所持的立场",
276,"wasp","英:/wɒsp/ 美:/wɑsp/","- n. 黄蜂;胡蜂
- 易动怒的人;刻毒的人
WASPabbr. 祖先是英国新教徒的美国人
WASPabbr. 〈美〉祖先是英国新教徒的美国人",
277,"yarn","英:/jɑːn/ 美:/jɑrn/","- n. 纱线；奇谈，故事
- vt. 用纱线缠
- vi. 讲故事


时 态:  
yarned, yarning, yarns",
278,"yeast","英:/jiːst/ 美:/jist/","n. 酵母；酵母片；泡沫；引起骚动因素


时 态:  
yeasted, yeasting, yeasts",
279,"abstract","英:/'æbstrækt/ 美:/'æbstrækt/","- n. 抽象；摘要；抽象的概念
- adj. 抽象的；深奥的
- vt. 提取；摘要；使……抽象化
- vi. 做摘要；写梗概


时 态:  
abstracted, abstracting, abstracts  

副 词:  
abstractly",
280,"accessory","英:/ək'ses(ə)rɪ/ 美:/ək'sɛsəri/","- n. 附件, 配件
- 同谋, 帮凶, 包庇犯

形容词:  
accessorial

副 词:  
accessorily",
281,"accommodate","英:/ə'kɒmədeɪt/ 美:/ə'kɑmədet/","- vt. 容纳
- 向…提供住处
- 使适应, 顺应

时 态:  
accommodated, accommodating, accommodates 

形容词:  
accommodative

名 词:  
accommodator",
282,"accuracy","英:/'ækjʊrəsɪ/ 美:/'ækjərəsi/","n. 精确(性), 准确(性)",
283,"Advertisement","英:/ədˈvɜːtɪsmənt/ 美:/ˌædvɚ'taɪzmənt/","- n. 出公告, 做广告
- 广告",
284,"aggression","英:/ə'greʃ(ə)n/ 美:/ə'ɡrɛʃən/","- n. 侵略, 侵犯,挑衅
- 侵略行为，侵犯行为",
285,"agriculture","英:/'ægrɪkʌltʃə/ 美:/'æɡrɪkʌltʃɚ/","- n. 农业
- 农学, 农艺

形容词:  
agricultural",
286,"allergy","英:/'ælədʒɪ/ 美:/'ælɚdʒi/","n. (对食物、花粉、虫咬等的)过敏症",
287,"appetite","英:/'æpɪtaɪt/ 美:/'æpɪtaɪt/","- n. 欲望
- 胃口, 食欲

形容词:  
appetitive",
288,"appreciate","英:/ə'priːʃɪeɪt/ 美:/ə'priʃɪet/","- vt. 感激, 感谢
- 欣赏, 赏识, 重视
- 意识到, 体会
- vt. & vi. (使)增值, 涨价

时 态:  
appreciated, appreciating, appreciates 

名 词:  
appreciator

形容词:  
appreciatory",
289,"apricot","英:/'eɪprɪkɒt/ 美:/'æprɪkɑt/","- n. 杏；杏仁；杏树
- 杏黄色
- adj. 杏黄色的",
290,"Arrow","英:/'ærəʊ/ 美:/'æro/","- n. 箭, 矢, 箭状物
- 箭号, 箭头",
291,"asset","英:/'æset/ 美:/'æsɛt/","n. 资产；有用的东西；有利条件；优点",
292,"Athletics","英:/æθ'letɪks/ 美:/æθ'lɛtɪks/","- n. 体育运动；田径运动；竞技
- 体育(课)",
293,"atmosphere","英:/'ætməsfɪə/ 美:/'ætməsfɪr/","- n. 大气, 大气层
- 空气
- 气氛, 环境",
294,"atom","英:/'ætəm/ 美:/'ætəm/","n. 原子",
295,"awning","英:/'ɔːnɪŋ/ 美:/'ɔnɪŋ/","- n. 布做的凉篷；遮篷；雨篷
- (甲板等上的)天篷",
296,"blind","英:/blaɪnd/ 美:/blaɪnd/","- adj. 瞎的；盲目的
- adv. 看不见地；盲目地
- n. 百叶窗；掩饰，借口
- vt. 使失明；使失去理智


比较级:  
blinder, blindest 

副 词:  
blindly

名 词:  
blindness",
297,"blonde","英:/blɒnd/ 美:/blɑnd/","- adj. 亚麻色的；白皙的；白肤金发碧眼的
- n. 白肤金发碧眼的女人",
298,"brew","英:/bruː/ 美:/brʊ/","- vt. 酿造；酝酿
- vi. 酿酒；被冲泡；即将发生
- n. 啤酒；质地


时 态:  
brewed, brewing, brews 

名 词:  
brewage

名 词:  
brewer",
299,"brutal","英:/'bruːt(ə)l/ 美:/'brutl/","adj. 残忍的；野蛮的，不讲理的


副 词:  
brutally",
300,"canal","英:/kə'næl/ 美:/kə'næl/","- n. 运河；水道；灌溉水渠；管道
- vt. 在…开凿运河


时 态:  
canalled, canaled 
canalling, canaling 
canals, canals",
301,"canvas","英:/'kænvəs/ 美:/'kænvəs/","- n. 帆布
- vt. 用帆布覆盖，用帆布装备
- adj. 帆布制的",
302,"caramel","英:/'kærəm(ə)l/ 美:/'kærəmɛl/","- n. (食物着色或调味用的)焦糖
- (含焦糖味的)太妃糖",
303,"cart","英:/kɑːt/ 美:/kɑrt/","- n. 运货马车；手推车
- vt. 用马车载运

时 态:  
carted，carting，carts 

名 词:  
carter",
304,"cathedral","英:/kə'θiːdr(ə)l/ 美:/kə'θidrəl/","n. 总教堂, 大教堂",
305,"ceremony","英:/'serɪmənɪ/ 美:/'sɛrə'moni/","- n. 典礼, 仪式
- 礼节, 礼仪",
306,"charm","英:/tʃɑːm/ 美:/tʃɑrm/","- n. 魅力，吸引力
- 魔力，魔法，咒语
- vt. 使高兴，使着迷；吸引
- 使中魔法，(犹如用魔法)控制

时 态:  
charmed，charming，charms 

副 词:  
charmingly

形容词:  
charmless",
307,"Christ","/kraɪst/","- n. 基督；救世主
- int. 天啊！


形容词:  
Christlike

形容词:  
Christly",
308,"cinnamon","英:/'sɪnəmən/ 美:/'sɪnəmən/","- n. 樟属的树，肉桂；肉桂皮；肉桂色
- adj. 肉桂色的，浅黄褐色的


形容词:  
cinnamic",
309,"circus","英:/'sɜːkəs/ 美:/'sɝkəs/","n. 马戏团；马戏",
310,"clash","英:/klæʃ/ 美:/klæʃ/","- vt. & vi. (砰地相撞)发出撞击声
- vi. 交锋；冲突
- 不合；不一致
- n. (金属等的)刺耳的撞击声
- 不协调
- 冲突

时 态:  
clashed，clashing，clashes",
311,"communal","英:/'kɒmjʊn(ə)l/ 美:/'kɑmjʊnl/","adj. 公共的；公社的


名 词:  
communality

副 词:  
communally",
312,"compact","英:/kəm'pækt/ 美:/'kɑmpækt/","- n. 合同，契约；小粉盒
- adj. 紧凑的，紧密的；简洁的
- vt. 使紧密结合；使简洁


时 态:  
compacted, compacting, compacts  

副 词:  
compactly

名 词:  
compactness",
313,"compensate","英:/'kɒmpenseɪt/ 美:/'kɑmpɛnset/","vt. & vi. 补偿, 报酬

时 态:  
compensated, compensating, compensates 

形容词:  
compensative

名 词:  
compensator

形容词:  
compensatory",
314,"competitor","英:/kəm'petɪtə/ 美:/kəm'pɛtɪtɚ/","n. 竞争者,对手,敌手",
315,"composition","英:/kɒmpə'zɪʃ(ə)n/ 美:/ˌkɑmpə'zɪʃən/","- n. 创作，写作，作曲
- 作文，作品
- 构图；构成，成分
- 混合物，合成物",
316,"concrete","英:/'kɒŋkriːt/ 美:/'kɑŋkrit/","- adj. 实在的，具体的；有形的；混凝土的
- vi. 凝结
- vt. 用混凝土修筑；使凝固
- n. 凝结物；具体物


时 态:  
concreted, concreting, concretes  

副 词:  
concretely",
317,"convey","英:/kən'veɪ/ 美:/kən've/","- vt. 运输；运送
- 表达，转达

时 态:  
conveyed，conveying，conveys 

形容词:  
conveyable",
318,"coordinate","英:/kəuˈɔ:dineit/ 美:/ko'ɔrdɪnet/","- vt. 使协调；使调和
- adj. 同等的，并列的
- n. 〈数〉坐标

时 态:  
coordinated，coordinating，coordinates  

形容词:  
coordinative

名 词:  
coordinator",
319,"copper","英:/'kɒpə/ 美:/'kɑpɚ/","- n. 铜；铜币；[俚]警察
- adj. 铜的
- vt. 镀铜于


时 态:  
coppered, coppering, coppers 

形容词:  
coppery",
320,"cosmetic","英:/kɒz'metɪk/ 美:/kɑz'mɛtɪk/","- adj. 美容的；化妆用的
- n. 化妆品；装饰品


副 词:  
cosmetically",
321,"couch","英:/kaʊtʃ/ 美:/kaʊtʃ/","- n. 睡椅，长沙发；卧榻；床
- vi. 蹲伏，埋伏；躺着
- vt. 表达；弯下；使躺下


时 态:  
couched, couching, couches 

名 词:  
coucher",
322,"counsel","英:/'kaʊns(ə)l/ 美:/'kaʊnsl/","- n. 忠告；讨论；商议；决策；法律顾问
- vt. 劝告；建议
- vi. 提出忠告；商讨


时 态:  
counseled, counselled 
counseling, counselling 
counsels, counsels",
323,"court","英:/kɔːt/ 美:/kɔrt/","- n. 法院；朝廷；球场；奉承
- vt. 向…献殷勤；设法获得；招致（失败、危险等）
- vi. 求爱


时 态:  
courted, courting, courts",
324,"craft","英:/krɑːft/ 美:/kræft/","- n. 手艺；工艺；太空船
- vt. 精巧地制作


时 态:  
crafted, crafting, crafts 

名 词:  
crafter",
325,"criterion","英:/kraɪ'tɪərɪən/ 美:/kraɪ'tɪrɪən/","n. (批评、判断等的)标准, 准则

形容词:  
criterial

复 数: 
criteria",
326,"crumble","英:/'krʌmb(ə)l/ 美:/'krʌmbl/","- vt. & vi. (把…)弄碎, (使)碎成细屑
- vi. 衰落, 崩溃

时 态:  
crumbled, crumbling, crumbles",
327,"cumin","英:/'kjuːmɪn/ 美:/ˈkʌmɪn/","n. 孜然芹,孜然芹果",
328,"customs","英:/ˈkʌstəmz/ 美:/'kʌstəmz/","n. 海关；关税；习惯；风俗（custom的复数）",
329,"cylinder","英:/'sɪlɪndə/ 美:/'sɪlɪndɚ/","- n. 圆筒, 圆柱体
- 汽缸, 泵体",
330,"deliberate","英:/dɪ'lɪb(ə)rət/ 美:/dɪ'lɪbərət/","- adj. 故意的, 蓄意的
- 慎重的, 深思熟虑的
- 不慌不忙的, 从容不迫的
- vt. & vi. 仔细考虑
- 研讨, 商讨

时 态:  
deliberated, deliberating, deliberates  

副 词:  
deliberately",
331,"delicate","英:/'delɪkət/ 美:/'dɛləkət/","adj. 微妙的；易碎的；清淡可口的；柔和的；精美的，雅致的；纤弱的


副 词:  
delicately

名 词:  
delicateness",
332,"delimit","英:/dɪ'lɪmɪt/ 美:/dɪ'lɪmɪt/","vt. 划界；定界限


时 态:  
delimitedalso delimitated 
delimitingdelimitating 
delimitsdelimitates  

名 词:  
delimitation",
333,"democracy","英:/dɪ'mɒkrəsɪ/ 美:/də'mɑkrəsi/","- n. 民主, 民主制
- 民主国家",
334,"density","英:/'densɪtɪ/ 美:/'dɛnsəti/","- n. 密集, 稠密
- 〈物〉〈化〉密度",
335,"derivative","英:/dɪ'rɪvətɪv/ 美:/də'rɪvətɪv/","- n. 派生物，引出物
- adj. 模仿他人的；衍生的；派生的

副 词:  
derivatively

名 词:  
derivativeness",
336,"dessert","英:/dɪ'zɜːt/ 美:/dɪ'zɝt/","n. 餐后甜点；甜点心",
337,"discrimination","英:/dɪ,skrɪmɪ'neɪʃ(ə)n/ 美:/dɪ,skrɪmɪ'neʃən/","- n. 歧视
- 辨别；辨别力，识别力",
338,"disturbing","/dɪ'stɝbɪŋ/","adj. 烦扰的",
339,"divorce","英:/dɪ'vɔːs/ 美:/dɪ'vɔrs/","- vt. 使离婚，使分离；与…离婚
- n. 离婚；分离
- vi. 离婚


时 态:  
divorced, divorcing, divorces",
