#,单词,音标,解释,笔记
43,"accommodation","英:/əˌkɒməˈdeɪʃn/ 美:/əˌkɑːməˈdeɪʃn/","accommodation UK  [əˌkɒməˈdeɪʃ(ə)n] US  [əˌkɑməˈdeɪʃ(ə)n] noun ★★ 
      
      Get it right: accommodation       
      The word accommodation  is often spelled wrongly. It has a double ‘ m  ’ in it:
      ✗ The guest house offers  accomodation  for small groups of people.
      ✓ The guest house offers  accommodation  for small groups of people. 
  1. [uncountable] a place for someone to stay, live, or work in. The usual American word is accommodations
      The hotel provides accommodation for up to 100 people.
      Thesaurus: sets of rooms for accommodationhyponym 
    1a. a house, flat, or hotel room
      a lack of affordable rented accommodation
      Most of our accommodation is self-catering.
      Thesaurus: sets of rooms for accommodationhyponym 
    1b. an area or space where people can do a particular job or activity
      The call centre has accommodation for over 2,000 operators.
      Thesaurus: space and amounts of spacehyponym 
  2. [singular/uncountable] formal a change in behaviour or attitude that helps people work together or end a disagreement
      Accommodation seemed impossible.
      Thesaurus: changessynonym 
  3. [uncountable] medical the change in shape of the lens of the eye when you look at something nearer or further away
      Thesaurus: ability to see and problems with seeinghyponym eye and parts of the eyemeronym",
44,"accumulate","英:/ə'kjuːmjʊleɪt/ 美:/ə'kjumjəlet/","accumulate UK  [əˈkjuːmjʊleɪt] US  [əˈkjumjəˌleɪt] verb [present tense I/you/we/they accumulate he/she/it accumulates present participle accumulating past tense accumulated past participle accumulated] ★
  [transitive] to get more and more of something over a period of time
      Over the years, I had accumulated hundreds of books.
      Thesaurus: to collect an amount of somethingsynonym 
    a. [intransitive] to increase in quantity over a period of time
      Medical evidence for the benefits of the procedure has been accumulating.
      Thesaurus: to increase, or to increase somethingsynonym",
45,"accurate","英:/'ækjʊrət/ 美:/'ækjərət/","accurate UK  [ˈækjʊrət] US  [ˈækjərət] adjective ★★
  1. correct or true in every detail
      We need to get an accurate estimate of what the new building will cost.
      Would it be more accurate to say that the plan failed?
      Thesaurus: exact and accuratesynonym 
  2. able to do something in an exact way, without making a mistake
      an accurate clock
      He’s very accurate in his calculations.
      accurate to: a stop watch accurate to 0.01 of a second (=never wrong by more than 0.01 of a second)
      Thesaurus: skilful and ablesynonym 
  3. an accurate throw or shot goes where it is intended to go
      Thesaurus: exact and accuratesynonym 
      Derived Word: accurately",
46,"acidic","英:/ə'sɪdɪk/ 美:/ə'sɪdɪk/","acidic UK  [əˈsɪdɪk] US  adjective
  1. containing acid
      acidic soil
      Thesaurus: acidshyponym metals
  2. very sour
      a rather unpleasant acidic taste
      Thesaurus: words used to describe specific tastes and flavourshyponym",
47,"aeroplane","英:/'eərəpleɪn/ 美:/'ɛrə'plen/","aeroplane UK  [ˈeərəˌpleɪn] US  [ˈerəˌpleɪn] noun [countable] [singular aeroplane plural aeroplanes] British ★
  a plane 1 1
      Thesaurus: aircrafthyponym parts of aircraftmeronym",
48,"ambassador","英:/æm'bæsədə/ 美:/æm'bæsədɚ/","ambassador UK  [æmˈbæsədə(r)] US  [æmˈbæsədər] noun [countable] [singular ambassador plural ambassadors] ★★
  1. a senior official who lives in a foreign country and represents his or her own country there. An ambassador is responsible for an office called an embassy
      ambassador to: the Egyptian ambassador to London
      Thesaurus: embassies and ambassadorshyponym 
  2. someone who is considered to represent an activity, organization, company etc
      Louis Armstrong, one of jazz’s most popular ambassadors
      Thesaurus: general words for business people and managershyponym",
49,"ampersand","英:/'æmpəsænd/ 美:/ˈæmpɚˌsænd/","ampersand UK  [ˈæmpə(r)ˌsænd] US  [ˈæmpərˌsænd] noun [countable] [singular ampersand plural ampersands]
  the symbol &amp;, used in writing instead of the word ‘and’
      Smith &amp; Company
      Thesaurus: punctuationhyponym",
50,"analogous","英:/ə'næləgəs/ 美:/ə'næləɡəs/","analogous UK  [əˈnæləɡəs] US  adjective formal
  similar to another situation, process etc so that the same things are true of or relevant to both
      analogous to: Remote voting via the Internet is analogous to absentee voting and will have the same kinds of problems.
      Thesaurus: similar and similarlysynonym",
51,"appointment","英:/ə'pɒɪntm(ə)nt/ 美:/ə'pɔɪntmənt/","appointment UK  [əˈpɔɪntmənt] US  noun [singular appointment plural appointments] ★★★
  1. [countable] an arrangement to see someone at a particular time, especially for a business meeting or to get a professional service
      make an appointment: Why don’t you make an appointment with one of our doctors?
      appointment with: I’d like to arrange an appointment with the headteacher.
      appointment to do something: I have an appointment to see my lawyer next Saturday.
      keep an appointment (=go to an appointment that you have arranged): Please notify us if you are unable to keep your appointment.
      by appointment: Viewing of the property is by appointment only.
      Thesaurus: official meetings and conferenceshyponym 
  2. [countable/uncountable] the fact of being given a new job, especially an important one
      appointment as/​to: Mr Toubon’s appointment as mayor/​to the mayoralty
      Thesaurus: to employ someonesynonym applying and interviewing for jobshyponym 
    2a. [countable] a job, especially an important job
      Her first academic appointment was as a lecturer at Manchester University.
      Internal appointments are advertised on the noticeboard.
      Thesaurus: general words relating to jobs and workhypernym types of job or workhyponym",
52,"approach","英:/ə'prəʊtʃ/ 美:/ə'protʃ/","▪ I. approach 1 UK  [əˈprəʊtʃ] US  [əˈproʊtʃ] noun [singular approach plural approaches] ★★★
    1. [countable] a particular way of thinking about or dealing with something
        We need a fresh approach to sports in education.
        approach to: He has a relaxed approach to life.
        adopt/​take/​use an approach: As a writer she takes a completely new approach to the classic horror story. 
        
        Collocations         
        Adjectives frequently used with approach  1 
        ▪   common-sense, constructive, down-to-earth, flexible, methodical, pragmatic, structured, systematic
        Thesaurus: ways of thinkingsynonym 
    2. [singular] the fact of coming closer in time or in distance
        We watched the carriage’s slow and steady approach.
        approach of: With the approach of war, many children were evacuated.
        Thesaurus: direction and ways of getting to a placesynonym soon and as soon as possiblesynonym 
    3. [countable] a path or road that leads to a place
        approach to: Soldiers were guarding all approaches to the palace.
        Thesaurus: types of road or pathhyponym paths used only for walking or ridingsynonym 
      3a. the path that a plane follows when it is preparing to land
        approach to/​into: The plane crashed during its final approach into the airport.
        Thesaurus: relating to operating aircrafthyponym 
    4. [countable] the action of starting to speak or write to someone when you are asking for something or making an offer
        make an approach to someone: The company has made some approaches to the government.
        Thesaurus: requests and demandssynonym 
▪ II. approach 2 UK  [əˈprəʊtʃ] US  [əˈproʊtʃ] verb [present tense I/you/we/they approach he/she/it approaches present participle approaching past tense approached past participle approached] ★★★
    1. [intransitive/transitive] to move closer to someone or something
        She heard footsteps approaching from behind.
        A strange boat was approaching the shore.
        Thesaurus: to move, or to move something towards a placesynonym 
      1a. [intransitive] if an event or a particular time approaches, it will happen soon
        The day of the election approached.
        Winter is fast approaching.
        Thesaurus: soon and as soon as possiblesynonym 
    2. [transitive] to speak to someone about something for the first time, especially in order to ask for help or make an offer
        Have you thought about approaching Sally? She might be able to help.
        approach someone about something: I have already approached my boss about a pay rise.
        Thesaurus: to ask someone for helpsynonym general words meaning to say somethingsynonym 
    3. [transitive] to almost reach a particular level, number, or condition
        England never approached the state of political collapse which France then faced.
        There is no one who even approaches his talents.
        They played in temperatures approaching 40 degrees.
        Thesaurus: to reach a particular amount, point, or statesynonym 
    4. [transitive] to deal with a situation or problem in a particular way
        Governments tend to approach the issue from different angles.
        Thesaurus: to try to deal with a problem or difficultysynonym",
53,"appropriate","英:/ə'prəʊprɪət/ 美:/ə'proprɪət/","▪ I. appropriate 1 UK  [əˈprəʊpriət] US  [əˈproʊpriət] adjective ★★
    suitable or right for a particular situation or purpose
        This isn’t the appropriate time to discuss the problem.
        The manager should take appropriate action if safety standards are not being met.
        appropriate to/​for: We need to ensure the teaching they receive is appropriate to their needs.
        appropriate that: It is entirely appropriate that his music should be played at this festival.
        Thesaurus: suitable or convenientsynonym relevant and appropriatesynonym 
        Derived Words: appropriately ▪ appropriateness
        Phrase: as appropriate
▪ II. appropriate 2 UK  [əˈprəʊpriˌeɪt] US  [əˈproʊpriˌeɪt] verb [transitive] [present tense I/you/we/they appropriate he/she/it appropriates present participle appropriating past tense appropriated past participle appropriated]
    1. to decide officially that money will be used for a particular purpose
        The legislature appropriated funds for technology in the schools.
        Thesaurus: to earn or to get moneysynonym 
    2. legal to take something illegally
        Thesaurus: to steal, or steal somethingsynonym 
      2a. formal to take something for yourself
        She had appropriated his role as chief provider for the family.
        Thesaurus: to take something away from someonesynonym",
54,"assembly","英:/ə'semblɪ/ 美:/ə'sɛmbli/","assembly UK  [əˈsembli] US  noun [singular assembly plural assemblies] ★★★
  1. [countable] a part of a government consisting of people who have been elected to make laws
      the French National Assembly
      The ruling party holds only a three-vote majority in the assembly.
      Thesaurus: groups of government officialshyponym 
    1a. a group of people who have been elected in order to discuss issues and make decisions affecting a particular region
      the United Nations General Assembly
      the assembly of the Organization of American States
      Thesaurus: groups of government officialshyponym 
    1b. only before noun belonging to or relating to an assembly
      an assembly member
      the assembly election/​race
      Thesaurus: official meetings and conferenceshyponym 
  2. [countable] a meeting of people who represent different parts of a large organization
      The trade group held its assembly in Santiago, Chile.
      Thesaurus: official meetings and conferenceshyponym 
    2a. [countable] a group of people who meet together for a particular reason
      a public assembly
      Thesaurus: groups of people with shared interests or aimssynonym general words for groups of peoplehyponym 
    2b. [countable/uncountable] a regular meeting of students and teachers in a school
      All important announcements are made during morning assembly.
      Thesaurus: school or university dayhyponym degrees and other academic qualificationshyponym 
    2c. [uncountable] legal the action of gathering together for a meeting
      freedom of assembly
      Thesaurus: official meetings and conferenceshyponym 
  3. [uncountable] the process of building something by putting all its parts together
      car assembly
      an assembly plant
      Thesaurus: process of joining or fastening thingssynonym general words for the process of buildinghyponym to fasten or join one thing to anothersynonym 
    3a. [countable] a group of parts that are connected and form one unit
      Thesaurus: collections, stores and sets of thingshyponym to mix things, or to become mixedsynonym",
55,"assessment","英:/ə'sesmənt/ 美:/ə'sɛsmənt/","assessment UK  [əˈsesmənt] US  noun [singular assessment plural assessments] ★★
  1. [uncountable] the process of making a judgment or forming an opinion, after considering something or someone carefully
      The investigation was reopened after careful assessment of new evidence.
      Thesaurus: careful thoughtsynonym 
    1a. [countable] a judgment or opinion that is the result of this process.
      Thesaurus: opinions and attitudessynonym 
  2. [countable/uncountable] calculation of the cost or value of something, or the amount of the cost or value
      the assessment of property taxes
      Thesaurus: process of calculatinghyponym to calculate or countsynonym",
56,"assistant","英:/ə'sɪst(ə)nt/ 美:/ə'sɪstənt/","▪ I. assistant 1 UK  [əˈsɪst(ə)nt] US  [əˈsɪstənt] noun [countable] [singular assistant plural assistants] ★★
    someone whose job is to help another person in their work, for example by doing the easier parts of it
        a personal assistant
        Thesaurus: assistants, helpers and secretarieshyponym 
▪ II. assistant 2 UK  [əˈsɪst(ə)nt] US  [əˈsɪstənt] adjective only before noun ★★
    used as part of a title for someone whose job is to help someone who is in charge of doing something
        an assistant manager
        Thesaurus: words used to describe jobs and workhyponym general words relating to jobs and workhypernym",
57,"association","英:/əsəʊsɪ'eɪʃ(ə)n/ 美:/ə,soʃɪ'eʃən/","association UK  [əˌsəʊsiˈeɪʃ(ə)n] US  [əˌsoʊʃiˈeɪʃ(ə)n] noun [singular association plural associations] ★★★
  1. [countable] a group of people who have joined together because they have similar interests or aims
      a professional association of engineers
      the Parent-Teacher Association
      Thesaurus: groups of people with shared interests or aimssynonym general words for groups of peoplehyponym 
  2. [countable/uncountable] a connection with a person, group, or organization
      association with: The police knew all about his associations with organized crime.
      Thesaurus: relationships and membership of social groupssynonym friendship and feelings of friendshipsynonym 
  3. [countable] a connection between two things
      association between: Some studies show a strong association between pesticide use and certain diseases.
      association with: Smoking has a close association with lung cancer.
      Thesaurus: connection or relation between thingssynonym 
    3a. a memory or feeling that is connected with a particular place, event etc
      The town has many happy childhood associations for me.
      Thesaurus: memory and memoriessynonym 
      Phrase: in association with",
58,"asynchronous","/ei'siŋkrənəs/","asynchronous UK  [eɪˈsɪŋkrənəs] US  adjective
  1. computing relating to an electronic communication method that sends information in one direction, one character at a time
      Thesaurus: relating to computer software, systems and equipmenthyponym computer programs and systemshyponym 
  2. very formal not happening at the same time or speed
      Thesaurus: general words relating to frequency and durationsynonym",
59,"auction","英:/'ɔːkʃ(ə)n/ 美:/'ɔkʃən/","▪ I. auction 1 UK  [ˈɔːkʃ(ə)n] US  [ˈɔkʃ(ə)n] noun [countable/uncountable] [singular auction plural auctions] ★
    a public occasion when things are sold to the people who offer the most money for them
        at auction: They bought the paintings at auction in 1989.
        up for auction (=being sold at an auction): The house is now up for auction.
        Thesaurus: auctions and auctioninghyponym 
      a. only before noun connected with an auction or bought at an auction
        Internet auction sites
        Thesaurus: auctions and auctioninghyponym 
▪ II. auction 2 UK  [ˈɔːkʃ(ə)n] US  [ˈɔkʃ(ə)n] verb [transitive] [present tense I/you/we/they auction he/she/it auctions present participle auctioning past tense auctioned past participle auctioned]
    to sell something at an auction
        Six examples of his work will be auctioned for charity tomorrow night.
        auction off: Some of the land was auctioned off last year.
        Thesaurus: to sell somethingsynonym auctions and auctioninghyponym to buy somethingsynonym",
60,"auxiliary","英:/ɔːg'zɪlɪərɪ/ 美:/ɔɡ'zɪlɪəri/","▪ I. auxiliary 1 UK  [ɔːɡˈzɪliəri] US  [ɔɡˈzɪljəri] noun [countable] [singular auxiliary plural auxiliaries] ★
    1. a worker who helps more senior or permanent workers
        Thesaurus: assistants, helpers and secretarieshyponym general words for workers and types of workerhyponym words used to describe workershyponym 
    2. an auxiliary verb
        Thesaurus: verb forms and tenseshyponym 
▪ II. auxiliary 2 UK  [ɔːɡˈzɪliəri] US  [ɔɡˈzɪljəri] adjective
    1. auxiliary equipment or systems are available for use if the main one fails
        an auxiliary power unit
        Thesaurus: describing machines and pieces of equipmenthyponym parts of machines and machinerymeronym 
    2. auxiliary workers help more senior or permanent workers
        auxiliary nurses/​troops/​pilots
        Thesaurus: words used to describe workershyponym general words relating to jobs and workhypernym",
61,"basin","英:/'beɪs(ə)n/ 美:/'besn/","basin UK  [ˈbeɪs(ə)n] US  noun [countable] [singular basin plural basins] ★★
  1. a large bowl fixed to the wall in a bathroom for washing your face and hands in
      Thesaurus: baths, showers and basinshyponym toiletsynonym 
  2. a round open container used for holding liquids or for storing or mixing food
      Thesaurus: containers for carrying or storing foodhyponym containers for carrying or storing liquidhyponym bags and cases for carrying possessionshyponym 
  3. a large area of land whose surface water all flows into a particular river or lake
      the Colorado River Basin
      Thesaurus: areas of land around rivers, lakes and seashyponym 
    3a. an enclosed area of water where boats can be kept
      Thesaurus: areas and structures where boats and ships stop or are kepthyponym 
    3b. a large area of the Earth’s surface that is lower than the surrounding area
      the Caribbean Basin
      Thesaurus: valleyshyponym",
62,"Bay Leaves","","",
63,"beak","英:/biːk/ 美:/bik/","beak UK  [biːk] US  [bik] noun [countable] [singular beak plural beaks] ★
  1. the hard curved or pointed part of a bird’s mouth 

      Thesaurus: parts of birdsmeronym species of birdhyponym 
  2. British informal old-fashioned a judge
      Thesaurus: lawyers and people who work in law courtshyponym",
64,"blossom","英:/'blɒs(ə)m/ 美:/'blɑsəm/","▪ I. blossom 1 UK  [ˈblɒs(ə)m] US  [ˈblɑsəm] noun [countable/uncountable] [singular blossom plural blossoms]
    a flower on a tree, or all the flowers on a tree
        apple blossom
        in blossom (=covered with flowers): By March, the cherry trees are in blossom. 

        Thesaurus: parts of treesmeronym types of treehypernym 
▪ II. blossom 2 UK  [ˈblɒs(ə)m] US  [ˈblɑsəm] verb [intransitive] [present tense I/you/we/they blossom he/she/it blossoms present participle blossoming past tense blossomed past participle blossomed]
    1. to develop and become more successful
        Their romance blossomed on a trip to Key West.
        blossom into: The town has blossomed into the country’s most popular beach resort.
        Thesaurus: to be, or to become successfulsynonym 
    2. if a tree blossoms, it produces flowers
        Thesaurus: what plants can dohyponym general types of planthypernym",
65,"calcium","英:/'kælsɪəm/ 美:/'kælsɪəm/","calcium UK  [ˈkælsiəm] US  noun [uncountable] chemistry ★
  a white chemical element that is an important part of bones and teeth and is found in some types of rock
      Thesaurus: chemical elementshyponym types of chemical substancehyponym",
66,"capacity","英:/kə'pæsɪtɪ/ 美:/kə'pæsəti/","capacity UK  [kəˈpæsəti] US  noun [countable/uncountable] [singular capacity plural capacities] ★★★
  1. the amount of something that can be put in a container, or the number of people that a place has room for
      There are plans to increase the capacity of the stadium.
      capacity of: The fuel tanks have a capacity of 25,000 litres.
      a theatre with a seating capacity of 800
      a capacity crowd/​audience (=a very large) (=crowd) (=audience) (=that completely fills a place): The game is set to attract a capacity crowd of 42,000.
      Thesaurus: general words for numbers, amounts and quantitieshyponym nothing, none and no onesynonym 
    1a. computing the amount of information that can be stored on a computer or on a CD or floppy disk
      Thesaurus: units for measuring computer information or speedhyponym 
  2. the amount of goods that a company can produce, or the amount of work it can do
      New machinery could increase our production capacity by 25 per cent.
      The plant has a capacity of 120,000 tonnes per annum.
      The present rail network has plenty of spare capacity.
      at full capacity (=producing as many goods as possible, or doing as much work as possible): The factory is now operating at full capacity.
      Thesaurus: to do business and relating to doing businesshyponym closing a business and ceasing to operate a businesssynonym 
    2a. the amount of energy or power that something can produce
      Thesaurus: fuel and using fuelhyponym 
  3. the ability to do something
      Her poor health limits her earning capacity.
      capacity to do something: They are worried about their capacity to invest for the future.
      capacity for: Harry had a tremendous capacity for work.
      Thesaurus: skill, talent and abilitysynonym 
      Phrases: in a advisory capacity ▪ in a personal capacity ▪ in a professional capacity",
67,"capita","英:/'kæpitə/ 美:/ˈkepətə/","Capita




Word sets
 1








Capita
Capita
Cap‧i‧ta

 /
ˈkæpɪtə
/

 trademark

 
a British company that uses computers to provide 

administrative services to private businesses and public organizations. In 2002 it started to run operations at the Criminal Records Bureau (CRB), carrying out checks to see if people who are 

apply
ing for jobs such as teaching have 

commit
ted any crimes in the past. It also runs the computers and administrative services for the 

congestion charging system in London.",
68,"capsicum","英:/'kæpsɪkəm/ 美:/'kæpsɪkəm/","capsicum UK  [ˈkæpsɪkəm] US  noun [countable/uncountable] [singular capsicum plural capsicums]
  a red, green, or yellow pepper
      Thesaurus: vegetableshyponym types of vegetablehypernym",
69,"carbohydrate","英:/kɑːbə'haɪdreɪt/ 美:/ˌkɑrbo'haɪdret/","carbohydrate UK  [ˌkɑː(r)bəʊˈhaɪdreɪt] US  [ˌkɑrboʊˈhaɪˌdreɪt] noun [singular carbohydrate plural carbohydrates] biology
  [countable/uncountable] a substance found in foods such as sugar, bread, and potatoes. Carbohydrates supply your body with heat and energy.
      Thesaurus: substances and chemicals in food and drinkhyponym types of food or drinkhypernym 
    a. [countable] a food that contains carbohydrates
      Eat more carbohydrates and less fatty foods.
      Thesaurus: types of food or drinkhypernym pies and pastrieshyponym",
70,"carbon","英:/'kɑːb(ə)n/ 美:/'kɑrbən/","carbon UK  [ˈkɑː(r)bən] US  [ˈkɑrbən] noun [singular carbon plural carbons] ★★
  1. [uncountable] chemistry a chemical element that is found in all living things, and can also exist as diamonds or coal
      Thesaurus: chemical elementshyponym types of chemical substancehyponym 
  2. [uncountable] chemistry the gases carbon dioxide and carbon monoxide
      Thesaurus: gaseshyponym 
  3. [countable] a piece of carbon paper
      Thesaurus: office supplies and other stationeryhyponym",
71,"cast","英:/kɑːst/ 美:/kæst/","▪ I. cast 1 UK  [kɑːst] US  [kæst] verb [present tense I/you/we/they cast he/she/it casts present participle casting past tense cast past participle cast] ★★★
    1. [transitive] to choose a performer for a particular part or for a particular type of part in a film, play etc
        Ralph Fiennes was cast in the lead role of King Richard.
        cast someone as something: She was tired of always being cast as a sex symbol.
        Thesaurus: auditioning, casting and rehearsinghyponym 
      1a. to choose all the performers for a film, play etc
        Thesaurus: auditioning, casting and rehearsinghyponym 
    2. [transitive] to describe someone or something as belonging to a particular type
        cast someone as something: From his earliest days on the team he was cast as a troublemaker.
        Thesaurus: to categorize thingssynonym 
    3. [transitive] to look at someone or something in a particular way
        cast a look/​glance: She cast an impatient look at Mitch and stormed out of the room.
        cast an eye over/​cast your eyes over: Harry cast his eyes over the bewildering array of instruments on the control panel.
        Thesaurus: general words meaning to look or not looksynonym to look at someone in a particular wayhyponym 
    4. [transitive] mainly literary to make light or a shadow appear in a particular place
        Thesaurus: to shine, glow or give off lightsynonym 
    5. [transitive] literary to throw someone or something somewhere
        Thesaurus: to aim and to throwsynonym to walk, or to walk in a particular waysynonym 
    6. [intransitive/transitive] to swing a fishing rod forwards so that the end of the line falls into the water
        Thesaurus: hunting, shooting and fishinghyponym 
      6a. to throw a fishing net into the water
        Thesaurus: hunting, shooting and fishinghyponym 
    7. [transitive] to form an object by pouring liquid metal or liquid plastic into a mould
        The Rodin sculptures are cast in bronze.
        Thesaurus: models and describing models and imageshyponym 
    8. [transitive] to make a horoscope in order to say what will happen in the future, by calculating the positions of stars and planets
        Thesaurus: astrologyhyponym 
    9. [transitive] if a snake casts its skin, it slides out of it
        Thesaurus: animal behaviourhyponym 
        Phrases: be cast away ▪ be cast down ▪ cast a shadow over something ▪ cast a spell on someone ▪ cast a spell over someone ▪ cast a vote ▪ cast doubt on something ▪ cast fresh light on something ▪ cast light on something ▪ cast new light on something ▪ cast something from your mind ▪ cast your mind back ▪ cast your net wide
        Phrasal Verbs: cast about for ▪ cast around for ▪ cast aside ▪ cast off ▪ cast on ▪ cast out ▪ cast up
▪ II. cast 2 UK  [kɑːst] US  [kæst] noun [singular cast plural casts] ★
    1. [countable] all the performers in a film, play etc
        An all-star cast includes Michael Douglas as the US President.
        cast of: The play has a cast of four.
        She was a member of the cast of
        The Sound of Music
        for years.
        Thesaurus: performers and entertainershyponym 
    2. [countable] a hard cover for protecting a broken or injured part of the body, such as an arm or leg, while it is getting better
        Sheila broke her arm skiing and had to wear a cast.
        Thesaurus: bandages, supports and other dressingshyponym 
    3. [countable] an object formed into a particular shape by pouring a liquid into a mould , allowing the liquid to become hard, and then removing the mould
        The museum’s study hall has casts of many Greek statues.
        Thesaurus: models and describing models and imageshyponym 
      3a. a mould used to form a particular shape
        Thesaurus: areas and objects found in a factoryhyponym general words for to produce goodssynonym 
    4. [singular] British a particular type of something, especially someone’s mind, face, or features
        cast of mind: men of a military cast of mind
        Thesaurus: categories and typessynonym 
      4a. the particular way that something looks, especially if it is only slightly noticeable
        His face had a slightly greenish cast.
        Thesaurus: general words for appearancessynonym 
    5. [countable] the action of swinging a fishing line or net into the water
        Thesaurus: hunting, shooting and fishinghyponym",
72,"category","英:/'kætɪg(ə)rɪ/ 美:/'kætəɡɔri/","category UK  [ˈkætəɡ(ə)ri] US  [ˈkætəɡəri] noun [countable] [singular category plural categories]
  a group of people or things that have similar qualities
      The winners in each of the seven categories were then chosen.
      category of: a proposal to ban some categories of weapons
      fall into a category (=belong to a category): Computer viruses fall into three broad categories.
      Thesaurus: categories and typessynonym",
73,"Catholic","英:/'kæθ(ə)lɪk/ 美:/'kæθlɪk/","catholic UK  [ˈkæθ(ə)lɪk] US  adjective
  including a wide variety of different things
      Jane has fairly catholic tastes in music.
      Thesaurus: different and differentlysynonym▪ I. Catholic 1 UK  [ˈkæθ(ə)lɪk] US  noun [countable] [singular Catholic plural Catholics]
    a member of the Roman Catholic Church 
        Thesaurus: catholicismhyponym 
▪ II. Catholic 2 UK  [ˈkæθ(ə)lɪk] US  adjective
    connected with the Roman Catholic Church 
        Thesaurus: catholicismhyponym",
74,"celery","英:/'selərɪ/ 美:/'sɛləri/","celery UK  [ˈseləri] US  noun [uncountable]
  a pale green vegetable with a group of long stems that are eaten raw or cooked 

      Thesaurus: vegetableshyponym types of vegetablehypernym",
75,"cement","英:/sɪ'ment/ 美:/sə'mɛnt/","▪ I. cement 1 UK  [səˈment] US  noun [uncountable] ★
    1. a grey powder used in building that becomes very hard when you mix it with sand and water
        Thesaurus: building materialshyponym farm buildings and structures where animals are kepthyponym 
    2. formal something that helps to make a relationship, idea etc stronger
        A belief in freedom is often seen as the cement of our nation.
        Thesaurus: important thing or detailsynonym 
▪ II. cement 2 UK  [səˈment] US  verb [transitive] [present tense I/you/we/they cement he/she/it cements present participle cementing past tense cemented past participle cemented]
    1. to make a relationship, idea etc stronger or more certain
        The aim of the president’s visit was to cement relations between the two countries.
        Thesaurus: to become more definite, or to make something more definitesynonym 
    2. cement variant cement over variant to cover a surface with cement
        Thesaurus: to cover something with a specific substancesynonym 
      2a. to fix something with cement or a similar substance
        The gatepost has been cemented onto the wall.
        Thesaurus: to stick, or to stick something to somethingsynonym",
76,"charity","英:/'tʃærɪtɪ/ 美:/'tʃærəti/","charity UK  [ˈtʃærəti] US  [ˈtʃerəti] noun [singular charity plural charities] ★★★
  1. [countable] an organization to which you give money so that it can give money and help to people who are poor or ill, or who need advice and support
      The Children’s Society is a registered charity.
      Thesaurus: charities and charitable organizations or peoplehyponym 
    1a. [uncountable] these organizations considered as a group
      raise something for charity: The show raised thousands of pounds for charity.
      give/​donate something to charity: I donated the prize money to charity.
      a charity event/​concert/​gala: a charity event to raise money for the school
      Thesaurus: charities and charitable organizations or peoplehyponym 
    1b. [uncountable] money or food that is given to people who are poor or ill so that they can live
      Their plight is a miserable one, but they do not want charity.
      Thesaurus: charity and giving money to charityhyponym 
  2. [uncountable] kindness that you show towards other people by not judging them or criticizing them too severely
      show charity (to someone): Steele showed no charity to his former friend and partner.
      Thesaurus: friendliness, generosity and kindnesssynonym 
      Phrase: charity begins at home",
77,"chin","英:/tʃɪn/ 美:/tʃɪn/","chin UK  [tʃɪn] US  noun [countable] [singular chin plural chins] ★★
  the centre of the bottom part of your face, below your mouth and above your neck 

      Thesaurus: features and parts of the facehyponym general words for the face or its featuressynonym 
      See also: double chin
      Phrases: chin up ▪ keep your chin up ▪ take something on the chin",
78,"chop","英:/tʃɒp/ 美:/tʃɑp/","▪ I. chop 1 UK  [tʃɒp] US  [tʃɑp] verb [present tense I/you/we/they chop he/she/it chops present participle chopping past tense chopped past participle chopped] ★★
    1. chop variant chop up variant [transitive] to cut something such as food or wood into pieces
        Finely chop the cabbage and cook it in boiling salted water.
        Next, add the chopped onions.
        Don’t chop any more wood; we’ve got enough.
        chop something into something: Chop the meat into small cubes.
        Thesaurus: cutting, cuts and relating to cuttinghyponym to make things cleaner or tidiersynonym 
      1a. to cut something roughly using a tool
        chop through: Use a spade to chop through the smaller roots.
        They had to chop their way through the undergrowth.
        Thesaurus: to use a toolhyponym to digsynonym 

    2. [transitive] informal to reduce an amount
        Our grant from the government has been chopped by 20 per cent this year.
        Thesaurus: to reduce somethingsynonym 
    3. [intransitive/transitive] to hit someone or something hard with the side of your hand
        Thesaurus: to hit a personsynonym to hit an objectsynonym 
        Phrase: chop and change
        Phrasal Verbs: chop down ▪ chop off ▪ chop up
▪ II. chop 2 UK  [tʃɒp] US  [tʃɑp] noun [countable] [singular chop plural chops]
    1. a small piece of meat with a bone in it, usually from a sheep or a pig
        lamb/​pork chops: We had pork chops for dinner last night.
        Thesaurus: joints and cuts of meathyponym 
    2. an act of hitting someone or something hard with the side of your hand
        a karate chop: She gave him a karate chop to the neck.
        Thesaurus: hit with the hand or a weaponhyponym to attack a person or objectsynonym 
      2a. an act of hitting something with a tool
        Thesaurus: cutting, cuts and relating to cuttinghyponym to make things cleaner or tidiersynonym 
        See also: chops
        Phrases: be for the chop ▪ be given the chop ▪ get the chop",
79,"circumference","英:/sə'kʌmf(ə)r(ə)ns/ 美:/sɚ'kʌmfərəns/","circumference UK  [sə(r)ˈkʌmf(ə)rəns] US  [sərˈkʌmf(ə)rəns] noun [singular circumference plural circumferences]
  [countable/uncountable] the distance measured around the edge of a circle or a round object or area
      a circle with a circumference of 2cm
      The island is 50 miles in circumference.
      Thesaurus: parts of shapesmeronym general words for shapesynonym 
    a. [countable] usually singular the edge of a circle or a round object or area
      The lamps threw deep shadows beyond the circumference of the pit.
      Thesaurus: parts of shapesmeronym general words for shapesynonym",
